Date,VIX
3/25/13,12.7
4/1/13,13.9
4/8/13,12.1
4/15/13,15
4/22/13,13.6
4/29/13,12.9
5/6/13,12.6
5/13/13,12.5
5/20/13,14
5/28/13,16.3
6/3/13,15.1
6/10/13,17.2
6/17/13,18.9
6/24/13,16.9
7/1/13,14.9
7/8/13,13.8
7/15/13,12.5
7/22/13,12.7
7/29/13,12
8/5/13,13.4
8/12/13,14.4
8/19/13,14.1
8/26/13,17
9/3/13,15.9
9/9/13,14.2
9/16/13,13.1
9/23/13,15.5
9/30/13,16.7
10/7/13,15.7
10/14/13,13
10/21/13,13.1
10/28/13,13.3
11/4/13,12.9
11/11/13,12.2
11/18/13,12.3
11/25/13,13.7
12/2/13,13.8
12/9/13,15.8
12/16/13,13.8
12/23/13,12.5
12/30/13,13.8
1/6/14,12.1
1/13/14,12.4
1/21/14,17.9
1/27/14,18.4
2/3/14,15.3
2/10/14,13.6
2/18/14,14.7
2/24/14,14
3/3/14,14.1
3/10/14,17.8
3/17/14,15
3/24/14,14.4
3/31/14,14
4/7/14,17
4/14/14,13.4
4/21/14,14.1
4/28/14,12.9
5/5/14,12.9
5/12/14,12.4
5/19/14,11.4
5/27/14,11.4
6/2/14,10.7
6/9/14,12.2
6/16/14,10.9
6/23/14,11.3
6/30/14,10.3
7/7/14,12.1
7/14/14,12.1
7/21/14,12.7
7/28/14,17
8/4/14,15.8
8/11/14,13.2
8/18/14,11.5
8/25/14,12.1
9/2/14,12.1
9/8/14,13.3
9/15/14,12.1
9/22/14,14.9
9/29/14,14.6
10/6/14,21.2
10/13/14,22
10/20/14,16.1
10/27/14,14
11/3/14,13.1
11/10/14,13.3
11/17/14,12.9
11/24/14,13.3
12/1/14,11.9
12/8/14,21.1
12/15/14,16.5
12/22/14,14.5
12/29/14,17.8
1/5/15,17.5
1/12/15,21
1/20/15,16.7
1/26/15,21
2/2/15,17.3
2/9/15,14.7
2/17/15,14.3
2/23/15,13.3
3/2/15,15.2
3/9/15,16
3/16/15,13
3/23/15,15.1
3/30/15,14.7
4/6/15,12.6
4/13/15,13.9
4/20/15,12.3
4/27/15,12.7
5/4/15,12.9
5/11/15,12.4
5/18/15,12.1
5/26/15,13.8
6/1/15,14.2
6/8/15,13.8
6/15/15,14
6/22/15,14
6/29/15,16.8
7/6/15,16.8
7/13/15,12
7/20/15,13.7
7/27/15,12.1
8/3/15,13.4
8/10/15,12.8
8/17/15,28
8/24/15,26
8/31/15,27.8
9/8/15,23.2
9/14/15,22.3
9/21/15,23.6
9/28/15,20.9
10/5/15,17.1
10/12/15,15.1
10/19/15,14.5
10/26/15,15.1
11/2/15,14.3
11/9/15,20.1
11/16/15,15.5
11/23/15,15.1
11/30/15,14.8
12/7/15,24.4
12/14/15,20.7
12/21/15,15.7
12/28/15,18.2
1/4/16,27
1/11/16,27
1/19/16,22.3
1/25/16,20.2
2/1/16,23.4
2/8/16,25.4
2/16/16,20.5
2/22/16,19.8
2/29/16,16.9
