Date,VIX
8/29/2016,13.42
8/22/2016,13.65
8/15/2016,11.34
8/8/2016,11.55
8/1/2016,11.39
7/25/2016,11.87
7/18/2016,12.02
7/11/2016,12.67
7/5/2016,13.2
6/27/2016,14.77
6/20/2016,25.76
6/13/2016,19.41
6/6/2016,17.030001
5/31/2016,13.47
5/23/2016,13.12
5/16/2016,15.2
5/9/2016,15.04
5/2/2016,14.72
4/25/2016,15.7
4/18/2016,13.22
4/11/2016,13.62
4/4/2016,15.36
3/28/2016,13.1
3/21/2016,14.74
3/14/2016,14.02
3/7/2016,16.5
2/29/2016,16.860001
2/22/2016,19.809999
2/16/2016,20.530001
2/8/2016,25.4
2/1/2016,23.379999
1/25/2016,20.200001
1/19/2016,22.34
1/11/2016,27.02
1/4/2016,27.01
12/28/2015,18.209999
12/21/2015,15.74
12/14/2015,20.700001
12/7/2015,24.389999
11/30/2015,14.81
11/23/2015,15.12
11/16/2015,15.47
11/9/2015,20.08
11/2/2015,14.33
10/26/2015,15.07
10/19/2015,14.46
10/12/2015,15.05
10/5/2015,17.08
9/28/2015,20.940001
9/21/2015,23.620001
9/14/2015,22.280001
9/8/2015,23.200001
8/31/2015,27.799999
8/24/2015,26.049999
8/17/2015,28.030001
8/10/2015,12.83
8/3/2015,13.39
7/27/2015,12.12
7/20/2015,13.74
7/13/2015,11.95
7/6/2015,16.83
6/29/2015,16.790001
6/22/2015,14.02
6/15/2015,13.96
6/8/2015,13.78
6/1/2015,14.21
5/26/2015,13.84
5/18/2015,12.13
5/11/2015,12.38
5/4/2015,12.86
4/27/2015,12.7
4/20/2015,12.29
4/13/2015,13.89
4/6/2015,12.58
3/30/2015,14.67
3/23/2015,15.07
3/16/2015,13.02
3/9/2015,16
3/2/2015,15.2
2/23/2015,13.34
2/17/2015,14.3
2/9/2015,14.69
2/2/2015,17.290001
1/26/2015,20.969999
1/20/2015,16.66
1/12/2015,20.950001
1/5/2015,17.549999
12/29/2014,17.790001
12/22/2014,14.5
12/15/2014,16.49
12/8/2014,21.08
12/1/2014,11.89
11/24/2014,13.33
11/17/2014,12.9
11/10/2014,13.31
11/3/2014,13.12
10/27/2014,14.03
10/20/2014,16.110001
10/13/2014,21.99
10/6/2014,21.24
9/29/2014,14.55
9/22/2014,14.85
9/15/2014,12.11
9/8/2014,13.31
9/2/2014,12.09
8/25/2014,12.09
8/18/2014,11.47
8/11/2014,13.15
8/4/2014,15.77
7/28/2014,17.030001
7/21/2014,12.69
7/14/2014,12.06
7/7/2014,12.08
6/30/2014,10.32
6/23/2014,11.26
6/16/2014,10.85
6/9/2014,12.18
6/2/2014,10.73
5/27/2014,11.4
5/19/2014,11.36
5/12/2014,12.44
5/5/2014,12.92
4/28/2014,12.91
4/21/2014,14.06
4/14/2014,13.36
4/7/2014,17.030001
3/31/2014,13.96
3/24/2014,14.41
3/17/2014,15
3/10/2014,17.82
3/3/2014,14.11
2/24/2014,14
2/18/2014,14.68
2/10/2014,13.57
2/3/2014,15.31
1/27/2014,18.41
1/21/2014,17.879999
1/13/2014,12.44
1/6/2014,12.14
12/30/2013,13.76
12/23/2013,12.46
12/16/2013,13.79
12/9/2013,15.76
12/2/2013,13.79
11/25/2013,13.7
11/18/2013,12.26
11/11/2013,12.19
11/4/2013,12.9
10/28/2013,13.28
10/21/2013,13.09
10/14/2013,13.04
10/7/2013,15.72
9/30/2013,16.74
9/23/2013,15.46
9/16/2013,13.12
9/9/2013,14.16
9/3/2013,15.85
8/26/2013,17.01
8/19/2013,14.06
8/12/2013,14.37
8/5/2013,13.41
7/29/2013,11.98
7/22/2013,12.72
7/15/2013,12.54
7/8/2013,13.84
7/1/2013,14.89
6/24/2013,16.860001
6/17/2013,18.9
6/10/2013,17.15
6/3/2013,15.14
5/28/2013,16.299999
5/20/2013,13.99
5/13/2013,12.45
5/6/2013,12.59
4/29/2013,12.85
4/22/2013,13.61
4/15/2013,14.97
4/8/2013,12.06
4/1/2013,13.92
3/25/2013,12.7
3/18/2013,13.57
3/11/2013,11.3
3/4/2013,12.59
2/25/2013,15.36
2/19/2013,14.17
2/11/2013,12.46
2/4/2013,13.02
1/28/2013,12.9
1/22/2013,12.89
1/14/2013,12.46
1/7/2013,13.36
12/31/2012,13.83
12/24/2012,21.790001
12/17/2012,17.84
12/10/2012,16.99
12/3/2012,15.87
11/26/2012,15.87
11/19/2012,15.14
11/12/2012,16.41
11/5/2012,18.610001
10/31/2012,17.59
10/22/2012,17.809999
10/15/2012,16.969999
10/8/2012,16.139999
10/1/2012,14.33
9/24/2012,15.73
9/17/2012,13.98
9/10/2012,14.51
9/4/2012,14.38
8/27/2012,17.469999
8/20/2012,15.18
8/13/2012,13.45
8/6/2012,14.74
7/30/2012,15.64
7/23/2012,16.700001
7/16/2012,16.27
7/9/2012,16.74
7/2/2012,17.1
6/25/2012,17.08
6/18/2012,18.110001
6/11/2012,21.110001
6/4/2012,21.23
5/29/2012,26.66
5/21/2012,21.76
5/14/2012,25.1
5/7/2012,19.889999
4/30/2012,19.16
4/23/2012,16.32
4/16/2012,17.440001
4/9/2012,19.549999
4/2/2012,16.700001
3/26/2012,15.5
3/19/2012,14.82
3/12/2012,14.43
3/5/2012,17.110001
2/27/2012,17.290001
2/21/2012,17.309999
2/13/2012,17.780001
2/6/2012,20.77
1/30/2012,17.1
1/23/2012,18.530001
1/17/2012,18.280001
1/9/2012,20.91
1/3/2012,20.629999
12/27/2011,23.4
12/19/2011,20.73
12/12/2011,24.290001
12/5/2011,26.379999
11/28/2011,27.52
11/21/2011,34.470001
11/14/2011,32
11/7/2011,30.040001
10/31/2011,30.16
10/24/2011,24.530001
10/17/2011,31.32
10/10/2011,28.24
10/3/2011,36.200001
9/26/2011,42.959999
9/19/2011,41.25
9/12/2011,30.98
9/6/2011,38.52
8/29/2011,33.919998
8/22/2011,35.59
8/15/2011,43.049999
8/8/2011,36.360001
8/1/2011,32
7/25/2011,25.25
7/18/2011,17.52
7/11/2011,19.530001
7/5/2011,15.95
6/27/2011,15.87
6/20/2011,21.1
6/13/2011,21.85
6/6/2011,18.860001
5/31/2011,17.950001
5/23/2011,15.98
5/16/2011,17.43
5/9/2011,17.07
5/2/2011,18.4
4/25/2011,14.75
4/18/2011,14.69
4/11/2011,15.32
4/4/2011,17.870001
3/28/2011,17.4
3/21/2011,17.91
3/14/2011,24.440001
3/7/2011,20.08
2/28/2011,19.059999
2/22/2011,19.219999
2/14/2011,16.43
2/7/2011,15.69
1/31/2011,15.93
1/24/2011,20.040001
1/18/2011,18.469999
1/10/2011,15.46
1/3/2011,17.139999
12/27/2010,17.75
12/20/2010,16.469999
12/13/2010,16.110001
12/6/2010,17.610001
11/29/2010,18.01
11/22/2010,22.219999
11/15/2010,18.040001
11/8/2010,20.610001
11/1/2010,18.26
10/25/2010,21.200001
10/18/2010,18.780001
10/11/2010,19.030001
10/4/2010,20.709999
9/27/2010,22.5
9/20/2010,21.709999
9/13/2010,22.01
9/7/2010,21.99
8/30/2010,21.309999
8/23/2010,24.450001
8/16/2010,25.49
8/9/2010,26.24
8/2/2010,21.74
7/26/2010,23.5
7/19/2010,23.469999
7/12/2010,26.25
7/6/2010,24.98
6/28/2010,30.120001
6/21/2010,28.530001
6/14/2010,23.950001
6/7/2010,28.790001
6/1/2010,35.48
5/24/2010,32.07
5/17/2010,40.099998
5/10/2010,31.24
5/3/2010,40.950001
4/26/2010,22.049999
4/19/2010,16.620001
4/12/2010,18.360001
4/5/2010,16.139999
3/29/2010,17.469999
3/22/2010,17.77
3/15/2010,16.969999
3/8/2010,17.58
3/1/2010,17.42
2/22/2010,19.5
2/16/2010,20.02
2/8/2010,22.73
2/1/2010,26.110001
1/25/2010,24.620001
1/19/2010,27.309999
1/11/2010,17.91
1/4/2010,18.129999
12/28/2009,21.68
12/21/2009,19.469999
12/14/2009,21.68
12/7/2009,21.59
11/30/2009,21.25
11/23/2009,24.74
11/16/2009,22.190001
11/9/2009,23.360001
11/2/2009,24.190001
10/26/2009,30.690001
10/19/2009,22.27
10/12/2009,21.43
10/5/2009,23.120001
9/28/2009,28.68
9/21/2009,25.610001
9/14/2009,23.92
9/8/2009,24.15
8/31/2009,25.26
8/24/2009,24.76
8/17/2009,25.01
8/10/2009,24.27
8/3/2009,24.76
7/27/2009,25.92
7/20/2009,23.09
7/13/2009,24.34
7/6/2009,29.02
6/29/2009,27.950001
6/22/2009,25.93
6/15/2009,27.99
6/8/2009,28.15
6/1/2009,29.620001
5/26/2009,28.92
5/18/2009,32.630001
5/11/2009,33.119999
5/4/2009,32.049999
4/27/2009,35.299999
4/20/2009,36.82
4/13/2009,33.939999
4/6/2009,36.529999
3/30/2009,39.700001
3/23/2009,41.040001
3/16/2009,45.889999
3/9/2009,42.360001
3/2/2009,49.330002
2/23/2009,46.349998
2/17/2009,49.299999
2/9/2009,42.93
2/2/2009,43.369999
1/26/2009,44.84
1/20/2009,47.27
1/12/2009,46.110001
1/5/2009,42.82
12/29/2008,39.189999
12/22/2008,43.380001
12/15/2008,44.93
12/8/2008,54.279999
12/1/2008,59.93
11/24/2008,55.279999
11/17/2008,72.669998
11/10/2008,66.309998
11/3/2008,56.099998
10/27/2008,59.889999
10/20/2008,79.129997
10/13/2008,70.330002
10/6/2008,69.949997
9/29/2008,45.139999
9/22/2008,34.740002
9/15/2008,32.07
9/8/2008,25.66
9/2/2008,23.059999
8/25/2008,20.65
8/18/2008,18.809999
8/11/2008,19.58
8/4/2008,20.66
7/28/2008,22.57
7/21/2008,22.91
7/14/2008,24.049999
7/7/2008,27.49
6/30/2008,24.790001
6/23/2008,23.440001
6/16/2008,22.870001
6/9/2008,21.219999
6/2/2008,23.559999
5/27/2008,17.83
5/19/2008,19.549999
5/12/2008,16.469999
